Email,Behavior-3,Brand-Preference,CTA,Demo-Age
metus@sociisnatoquepenatibus.org,30,7,13,46
massa@diam.edu,10,11,14,59
et.malesuada.fames@Mauris.org,25,4,5,29
adipiscing@porttitorscelerisque.ca,19,2,3,38
semper.cursus.Integer@necquamCurabitur.edu,15,12,18,20
cursus.non.egestas@anteipsum.com,7,9,4,62
Aliquam.adipiscing@egetmagnaSuspendisse.co.uk,4,9,13,37
pellentesque@cursusinhendrerit.org,20,5,1,25
sit@enim.edu,6,1,9,22
ultricies@ullamcorperDuis.ca,25,9,6,14
montes.nascetur@Donecest.net,5,5,2,35
eget.nisi@massaInteger.com,21,1,13,63
Donec@Praesenteu.com,19,8,14,20
risus.at@nunc.edu,19,4,13,54
blandit.at.nisi@suscipit.ca,13,8,16,50
Quisque@orci.edu,14,12,3,49
ullamcorper@non.ca,13,10,9,32
placerat.orci.lacus@montes.ca,4,6,15,43
Quisque@euturpisNulla.edu,25,10,5,36
odio.semper.cursus@elitpretiumet.org,30,4,18,39
faucibus.orci.luctus@diam.net,30,3,15,47
sem.molestie.sodales@ligula.com,11,8,8,56
Ut.tincidunt.orci@Donecelementumlorem.net,5,10,18,35
Phasellus.nulla.Integer@sitametfaucibus.co.uk,3,11,5,36
mauris.eu@Duis.com,17,6,14,32
Aliquam.nisl.Nulla@gravidamauris.com,29,4,11,48
vulputate.lacus@penatibuset.net,16,12,1,58
Donec@mattisIntegereu.org,27,3,7,31
aliquam.iaculis@tellus.org,25,3,6,42
lorem.fringilla@Donectempor.co.uk,17,12,11,42
vitae.diam.Proin@ut.ca,7,3,9,60
purus.Duis@metusfacilisislorem.net,26,12,4,61
tempor.bibendum.Donec@sit.co.uk,8,3,14,59
lorem.lorem@Quisqueornaretortor.edu,26,1,3,13
Nam@elitfermentumrisus.org,13,2,4,56
luctus@Donecestmauris.co.uk,6,7,12,61
quam@nec.org,24,10,5,61
penatibus.et.magnis@congueturpisIn.edu,13,5,15,65
diam.Proin.dolor@ipsum.co.uk,4,1,4,53
tincidunt.adipiscing.Mauris@augueut.edu,14,6,17,25
et.ipsum.cursus@sitamet.org,15,11,18,31
Pellentesque.habitant@placerat.co.uk,19,2,3,19
eget@telluseuaugue.co.uk,5,1,5,16
magna.Cras@sapien.org,9,5,17,26
mollis.nec.cursus@euligula.edu,9,11,5,60
cursus.a@luctuset.ca,21,3,15,55
arcu@mollisnon.net,21,1,6,68
torquent@tempus.edu,10,12,9,51
suscipit.nonummy.Fusce@Phasellusliberomauris.ca,22,8,1,26
ac@NuncmaurisMorbi.com,10,2,3,65
eu.tellus.Phasellus@scelerisque.net,16,4,6,25
vehicula.et.rutrum@Phasellusdolorelit.com,20,6,5,59
Maecenas.iaculis.aliquet@enimCurabitur.org,10,8,9,45
ante.bibendum.ullamcorper@facilisisfacilisis.edu,2,2,11,17
auctor.quis.tristique@non.edu,30,5,10,53
sagittis@blanditcongueIn.net,5,6,8,61
augue.ac.ipsum@sagittisDuis.org,6,6,18,26
Aliquam.nisl.Nulla@scelerisqueneque.edu,8,8,1,41
est.mollis@sagittisfelis.edu,12,12,16,40
vehicula@vestibulumneque.ca,17,12,11,41
et.eros@ligulaelit.ca,11,5,1,23
lacus.vestibulum@Nullasemper.co.uk,15,11,12,68
id.blandit.at@tristiquealiquet.ca,8,8,16,26
consequat.purus.Maecenas@Nulla.edu,1,8,17,37
justo.faucibus@Utsemper.ca,23,9,16,40
mattis@ametdiameu.net,27,2,13,32
Suspendisse@Vivamus.com,26,5,15,22
neque.non.quam@Vivamus.net,13,1,10,23
nisl@Vivamus.co.uk,9,9,6,35
Vestibulum.ante.ipsum@rutrum.co.uk,26,11,11,46
metus.Aenean.sed@atvelitCras.net,24,6,15,47
ac@ornarelibero.edu,19,8,5,67
purus.accumsan@malesuadafames.co.uk,12,7,10,63
quis@auctorveliteget.com,9,3,8,53
Nam@ridiculusmusProin.net,28,1,3,55
volutpat.Nulla.dignissim@fringillapurus.co.uk,27,9,10,30
elit.dictum@tristique.com,19,3,16,55
elit@magnaDuis.ca,20,6,18,54
Curae.Phasellus.ornare@pellentesquea.net,25,1,5,23
Phasellus.nulla@ullamcorperDuis.com,22,5,11,58
Nullam@Nullaaliquet.edu,27,7,15,67
penatibus@inlobortis.org,21,2,9,21
pede.Praesent@mauris.com,18,12,17,17
ac@magnisdis.com,4,9,12,21
pede@Etiamimperdiet.co.uk,16,11,14,42
arcu.Morbi@egestasDuisac.ca,10,12,8,31
libero.et.tristique@sitamet.com,13,6,18,21
in.dolor@mollisPhaselluslibero.co.uk,11,6,17,17
tristique@diam.co.uk,1,11,16,62
lacinia.mattis@Sed.net,13,11,12,24
lorem.vehicula@nostraper.ca,8,2,12,47
tellus@luctus.edu,30,11,13,37
ipsum.primis.in@cursuseteros.ca,22,12,10,20
malesuada.fringilla@pharetraQuisque.co.uk,15,6,11,30
hendrerit@aliquamerosturpis.net,20,8,7,35
Aliquam.auctor.velit@utpharetra.co.uk,26,10,4,36
Morbi.sit.amet@ametmassaQuisque.edu,15,8,4,22
eu.odio@sodalesnisi.ca,25,1,6,66
aliquam.iaculis.lacus@loremsitamet.org,1,6,6,26
Aliquam.vulputate.ullamcorper@eleifendCras.org,12,7,13,45
elit.pharetra.ut@morbitristiquesenectus.org,18,1,3,46
risus.Donec@inmagnaPhasellus.ca,3,12,1,27
urna@velit.co.uk,3,8,8,60
nisl.sem@gravidaAliquamtincidunt.org,4,7,2,31
turpis.egestas@nuncsitamet.edu,4,3,11,40
egestas.hendrerit.neque@aliquetlibero.net,9,4,13,14
mauris.a.nunc@augueSedmolestie.co.uk,5,12,6,19
et@Phasellus.ca,9,4,14,48
interdum@magnanecquam.net,3,5,1,22
adipiscing@ligulatortordictum.edu,23,4,13,15
a.scelerisque@lectus.edu,19,9,1,31
dignissim.tempor@gravidamolestie.edu,26,5,13,34
laoreet.libero@enimCurabiturmassa.edu,13,2,15,18
erat@aliquam.com,12,5,3,62
consectetuer.rhoncus.Nullam@pedeet.co.uk,25,1,8,14
non@Intinciduntcongue.net,10,2,14,66
interdum.enim@ipsumDonecsollicitudin.co.uk,4,3,8,21
malesuada.augue@magnaet.org,29,4,16,46
erat.eget.tincidunt@natoquepenatibus.co.uk,19,7,7,52
penatibus@elitsed.net,11,7,14,59
Phasellus.dapibus@purusin.org,10,8,7,26
Mauris@dictumeuplacerat.co.uk,26,5,3,58
sed.pede.nec@non.com,11,8,3,32
ornare.sagittis.felis@dolordapibus.org,7,6,12,36
dolor.sit@nonummyac.ca,19,3,2,48
leo@Sed.org,20,1,5,30
a.scelerisque@Classaptent.ca,17,8,18,36
dis.parturient.montes@Donecfelisorci.net,26,3,11,25
sit.amet@ullamcorpervelit.org,16,2,11,55
tempus.mauris.erat@felisDonectempor.ca,26,11,14,21
ut@magnamalesuadavel.co.uk,7,6,9,18
elementum@mattissemperdui.co.uk,2,1,13,40
et@egestasAliquam.net,5,3,15,16
quam@vitaesodalesat.com,30,6,11,60
odio.auctor.vitae@mollisIntegertincidunt.com,16,4,11,62
nulla.Integer@risusDonec.org,18,4,9,60
nisl.sem@tinciduntvehicula.edu,3,10,15,19
euismod.in@cubiliaCuraeDonec.co.uk,29,9,5,41
sagittis@eget.co.uk,30,7,13,20
felis.adipiscing.fringilla@consectetuermauris.org,21,5,4,61
est.ac@Nullamscelerisque.com,15,5,5,31
velit.Sed.malesuada@dolorsitamet.ca,7,10,13,37
velit.in@sociosquadlitora.edu,21,7,4,36
eu.eleifend@euismod.ca,20,12,1,56
Curabitur.sed@eumetus.ca,28,9,17,24
Nam.interdum.enim@aliquetsemut.co.uk,15,10,9,39
justo@blanditatnisi.ca,26,12,15,47
tempor.arcu@Pellentesque.ca,28,4,1,43
in.lobortis.tellus@Nullam.com,10,5,12,60
egestas.urna@Sedetlibero.ca,19,8,8,47
augue.malesuada@hendreritconsectetuercursus.org,18,3,7,14
Pellentesque.tincidunt@ategestasa.co.uk,30,11,8,19
lobortis.quis@fringilla.ca,15,2,5,41
consequat@Nunclaoreet.co.uk,18,8,16,13
massa.Vestibulum.accumsan@nisl.net,24,12,7,35
arcu.vel.quam@Integeraliquamadipiscing.edu,28,7,14,54
consequat@Maurisut.org,11,1,10,43
ut.nulla@auguescelerisque.ca,5,11,10,24
imperdiet@eutemporerat.org,27,7,6,32
magna@diam.co.uk,18,6,14,18
arcu.ac.orci@nonmassa.org,23,2,2,55
nibh.vulputate.mauris@mauriserat.org,26,11,9,60
quam.Curabitur@odio.co.uk,9,3,4,68
enim.Etiam.gravida@venenatisa.com,6,1,4,39
venenatis@cursuspurusNullam.edu,21,6,7,43
non@eleifendvitae.edu,13,6,2,34
enim.Sed@ametultricies.com,18,5,6,24
auctor@risusInmi.org,16,10,3,16
rutrum@diam.com,16,7,8,25
gravida@nonsapien.com,29,10,2,37
massa.Mauris.vestibulum@NullamenimSed.co.uk,4,9,11,47
mattis.ornare.lectus@arcuVestibulum.com,6,6,14,62
Vivamus@liberodui.org,7,9,11,17
dui.Cum.sociis@ultricessitamet.ca,7,5,9,53
suscipit.est.ac@Suspendissetristique.co.uk,13,11,18,16
facilisis.lorem.tristique@euligula.net,10,1,12,68
Fusce@semeget.net,11,2,15,53
sagittis@vulputateduinec.org,8,6,14,45
adipiscing.lacus@porttitor.net,28,2,16,30
lectus.convallis@at.org,27,9,17,62
lacus@quam.ca,18,2,10,65
Sed.dictum.Proin@aliquam.com,15,6,14,42
sed.est@blanditcongue.com,21,8,15,64
eu@ullamcorperviverra.com,9,3,8,28
tempus.risus@Crasdictum.ca,26,7,2,63
eu@inlobortis.net,24,5,17,53
suscipit.est@velit.co.uk,9,1,3,58
Donec.non@ipsumprimisin.net,30,11,4,36
urna@eliteratvitae.co.uk,12,8,3,21
in.felis@magnatellusfaucibus.com,14,9,6,18
ante@auctornonfeugiat.co.uk,13,12,14,57
Etiam.bibendum.fermentum@gravida.ca,17,1,5,38
dis@malesuadautsem.org,28,7,17,54
dolor.sit.amet@malesuadamalesuada.edu,29,1,12,54
eget.odio@orciPhasellusdapibus.org,1,8,5,63
nulla@malesuadamalesuada.edu,27,2,3,63
Suspendisse.tristique@semper.net,3,1,14,20
nonummy.ut.molestie@venenatislacus.co.uk,26,4,3,50
cubilia@DonectinciduntDonec.edu,5,7,6,42
quis.diam@facilisismagnatellus.org,12,11,16,40
elit.elit@nasceturridiculusmus.net,20,6,14,54
ridiculus@idanteNunc.com,28,2,8,31
Cras@pharetrasedhendrerit.co.uk,25,8,8,47
id@faucibusut.com,22,1,17,59
sit.amet.massa@nisia.org,16,11,4,33
Nunc.pulvinar@euaccumsan.org,28,5,10,41
lorem.vitae@luctusCurabituregestas.co.uk,25,10,11,64
rutrum.magna.Cras@estvitae.edu,20,10,17,17
Donec.tincidunt.Donec@viverra.com,24,11,16,20
ridiculus.mus.Proin@risus.net,27,4,6,24
ipsum.primis.in@iaculisenimsit.edu,21,6,2,31
Proin.nisl.sem@facilisis.edu,16,4,7,14
pellentesque.tellus@aliquamarcu.edu,26,10,16,55
Praesent@risusMorbi.ca,8,9,13,68
montes@magnisdis.net,21,3,8,36
dis@enimcommodo.edu,8,6,15,48
Quisque.purus@ornare.edu,2,6,16,13
imperdiet.ullamcorper@mipede.org,12,11,11,36
vehicula@ametrisusDonec.edu,19,6,7,66
neque.vitae.semper@atrisusNunc.edu,27,4,8,60
luctus.ut.pellentesque@eleifendegestasSed.edu,17,3,3,23
elit.erat@lectus.edu,8,12,4,59
quam@Duis.co.uk,24,1,5,49
sagittis.Duis@ultricesVivamusrhoncus.ca,30,11,3,44
sem@Morbiquisurna.edu,20,5,13,13
enim.Nunc@nibhvulputatemauris.co.uk,8,3,10,22
nulla.magna@utsemNulla.co.uk,10,4,9,21
id.ante.Nunc@auctornon.edu,26,2,15,67
ornare.egestas.ligula@Nullam.edu,17,1,16,37
neque@nibhAliquamornare.org,4,9,17,13
lacus.Quisque.imperdiet@placeratorcilacus.edu,19,10,5,67
consequat.nec@elitelitfermentum.co.uk,9,10,7,66
dapibus.id.blandit@semmagna.ca,6,11,9,32
Duis.ac.arcu@congue.ca,7,12,13,40
est.congue.a@orciPhasellus.ca,29,7,17,44
consectetuer.ipsum.nunc@malesuadafringilla.com,17,12,4,64
mollis@NullafacilisiSed.org,27,11,4,33
aliquet.metus@iaculislacuspede.edu,21,11,10,50
ac.ipsum@sit.co.uk,8,7,3,46
Fusce@sagittisaugue.com,18,2,4,19
magna.Lorem.ipsum@nibhPhasellus.net,17,3,6,66
