Name,Email,Behavior-1,Behavior-2,Behavior-3,Brand-Preference,CTA,Demo-Age,Demo-Geo,Demo-Sex
Lani,sed.sem.egestas@augueutlacus.edu,1,2,16,12,15,17,501258,2
Dahlia,cursus.a@mollisnon.co.uk,2,2,2,3,6,67,7445,2
Danielle,risus@mi.net,3,0,23,2,7,27,64-415,1
Ezekiel,enim.Nunc.ut@nonmassa.co.uk,1,0,28,5,9,56,71903,1
Kareem,Morbi.neque.tellus@milaciniamattis.org,1,0,13,2,16,53,88203,1
Keegan,nulla.Donec.non@Fuscealiquetmagna.org,1,1,5,6,2,62,09-980,1
Winter,pharetra.Quisque@orciluctus.edu,3,2,11,4,12,42,78-305,2
Kaseem,Quisque@vitaeerat.com,1,2,15,2,4,58,703652,2
Miriam,augue.eu@dictumauguemalesuada.net,1,1,12,12,14,43,28307,1
Wyatt,Cras.dictum@nulla.net,2,2,19,5,5,37,4429,1
Colette,tempus@antebibendum.co.uk,2,1,25,8,1,26,710766,1
Nora,dictum.eu@dapibus.edu,3,2,28,8,6,28,276051,2
Lacey,risus@amet.com,3,2,14,9,1,47,90527,1
Bree,elit.pede@nibhsit.co.uk,1,0,10,4,14,28,P74 4HA,2
Venus,pellentesque.a.facilisis@justoeuarcu.com,2,1,24,9,18,54,38922,1
August,metus@sociisnatoquepenatibus.org,3,2,30,7,13,46,57244,1
Chaney,massa@diam.edu,1,1,10,11,14,59,81853,1
Aristotle,et.malesuada.fames@Mauris.org,3,0,25,4,5,29,7291,2
Yoko,adipiscing@porttitorscelerisque.ca,1,0,19,2,3,38,9901,1
Amber,semper.cursus.Integer@necquamCurabitur.edu,2,0,15,12,18,20,10811,1
Norman,cursus.non.egestas@anteipsum.com,2,0,7,9,4,62,87583,1
Roanna,Aliquam.adipiscing@egetmagnaSuspendisse.co.uk,1,0,4,9,13,37,15869,1
Farrah,pellentesque@cursusinhendrerit.org,2,1,20,5,1,25,S9C 2Z0,1
Zelenia,sit@enim.edu,1,0,6,1,9,22,8681,2
Georgia,ultricies@ullamcorperDuis.ca,1,0,25,9,6,14,828613,2
Joelle,montes.nascetur@Donecest.net,2,1,5,5,2,35,48508,1
Quintessa,eget.nisi@massaInteger.com,1,1,21,1,13,63,9514,1
Yoshi,Donec@Praesenteu.com,2,0,19,8,14,20,20832,2
Hilel,risus.at@nunc.edu,1,2,19,4,13,54,99506,1
Matthew,blandit.at.nisi@suscipit.ca,2,2,13,8,16,50,76615,1
MacKensie,Quisque@orci.edu,3,1,14,12,3,49,50885,2
Jocelyn,ullamcorper@non.ca,1,2,13,10,9,32,595910,2
Scarlett,placerat.orci.lacus@montes.ca,1,0,4,6,15,43,HM2 1UT,1
Joy,Quisque@euturpisNulla.edu,3,0,25,10,5,36,64-799,1
Jamal,odio.semper.cursus@elitpretiumet.org,1,1,30,4,18,39,95394-386,2
Curran,faucibus.orci.luctus@diam.net,1,0,30,3,15,47,41774,1
Pearl,sem.molestie.sodales@ligula.com,2,2,11,8,8,56,17160,2
Rhoda,Ut.tincidunt.orci@Donecelementumlorem.net,2,2,5,10,18,35,86-178,2
Darrel,Phasellus.nulla.Integer@sitametfaucibus.co.uk,1,1,3,11,5,36,24901,1
Jakeem,mauris.eu@Duis.com,1,0,17,6,14,32,3292,2
Rhonda,Aliquam.nisl.Nulla@gravidamauris.com,2,0,29,4,11,48,1088,1
Silas,vulputate.lacus@penatibuset.net,3,1,16,12,1,58,7935,1
Hadassah,Donec@mattisIntegereu.org,2,0,27,3,7,31,47280,1
Melinda,aliquam.iaculis@tellus.org,1,0,25,3,6,42,91490,1
Aidan,lorem.fringilla@Donectempor.co.uk,1,2,17,12,11,42,84-904,1
Raphael,vitae.diam.Proin@ut.ca,2,2,7,3,9,60,16361,1
Elizabeth,purus.Duis@metusfacilisislorem.net,2,1,26,12,4,61,802489,1
Igor,tempor.bibendum.Donec@sit.co.uk,3,1,8,3,14,59,12474,2
Kuame,lorem.lorem@Quisqueornaretortor.edu,3,0,26,1,3,13,27863,2
Jamal,Nam@elitfermentumrisus.org,3,1,13,2,4,56,N2M 2S7,2
Kaye,luctus@Donecestmauris.co.uk,2,0,6,7,12,61,22005,1
Duncan,quam@nec.org,2,0,24,10,5,61,424600,1
Patrick,penatibus.et.magnis@congueturpisIn.edu,1,2,13,5,15,65,21966,1
Steel,diam.Proin.dolor@ipsum.co.uk,2,2,4,1,4,53,67801,1
Cruz,tincidunt.adipiscing.Mauris@augueut.edu,2,2,14,6,17,25,X27 0LB,1
Hop,et.ipsum.cursus@sitamet.org,1,1,15,11,18,31,8833,2
Porter,Pellentesque.habitant@placerat.co.uk,3,1,19,2,3,19,64410,1
Octavia,eget@telluseuaugue.co.uk,2,0,5,1,5,16,X47 6RO,1
Nadine,magna.Cras@sapien.org,2,2,9,5,17,26,2452,1
Caldwell,mollis.nec.cursus@euligula.edu,2,0,9,11,5,60,27868,2
Blair,cursus.a@luctuset.ca,2,1,21,3,15,55,H7P 8P4,1
Palmer,arcu@mollisnon.net,3,2,21,1,6,68,3645,2
Kane,torquent@tempus.edu,2,1,10,12,9,51,63845,1
Dora,suscipit.nonummy.Fusce@Phasellusliberomauris.ca,1,1,22,8,1,26,24066,1
Indigo,ac@NuncmaurisMorbi.com,2,0,10,2,3,65,64941,2
Ali,eu.tellus.Phasellus@scelerisque.net,2,2,16,4,6,25,5581,1
Xena,vehicula.et.rutrum@Phasellusdolorelit.com,2,0,20,6,5,59,51644,2
Jennifer,Maecenas.iaculis.aliquet@enimCurabitur.org,3,2,10,8,9,45,94657-063,1
Xena,ante.bibendum.ullamcorper@facilisisfacilisis.edu,3,0,2,2,11,17,36277,1
Andrew,auctor.quis.tristique@non.edu,3,0,30,5,10,53,70217,2
Whoopi,sagittis@blanditcongueIn.net,2,0,5,6,8,61,13419,1
Sydnee,augue.ac.ipsum@sagittisDuis.org,2,1,6,6,18,26,38545,2
Ryder,Aliquam.nisl.Nulla@scelerisqueneque.edu,2,2,8,8,1,41,82638,2
Fredericka,est.mollis@sagittisfelis.edu,3,0,12,12,16,40,33833,1
Jermaine,vehicula@vestibulumneque.ca,2,2,17,12,11,41,B2R 0J6,2
Danielle,et.eros@ligulaelit.ca,3,1,11,5,1,23,65-533,1
Gage,lacus.vestibulum@Nullasemper.co.uk,1,2,15,11,12,68,2852,2
Hu,id.blandit.at@tristiquealiquet.ca,3,2,8,8,16,26,3577KI,1
Daryl,consequat.purus.Maecenas@Nulla.edu,1,1,1,8,17,37,95884,2
Macey,justo.faucibus@Utsemper.ca,1,2,23,9,16,40,7113,1
Audrey,mattis@ametdiameu.net,2,0,27,2,13,32,46038,2
Hanae,Suspendisse@Vivamus.com,3,0,26,5,15,22,B0X 2N7,1
Cassady,neque.non.quam@Vivamus.net,2,0,13,1,10,23,3304UT,2
Basil,nisl@Vivamus.co.uk,2,2,9,9,6,35,54865,2
Holly,Vestibulum.ante.ipsum@rutrum.co.uk,3,0,26,11,11,46,6702GV,1
Ignacia,metus.Aenean.sed@atvelitCras.net,1,1,24,6,15,47,4102,1
Oren,ac@ornarelibero.edu,2,0,19,8,5,67,5805,1
Renee,purus.accumsan@malesuadafames.co.uk,1,2,12,7,10,63,H6K 3C6,1
Rina,quis@auctorveliteget.com,3,0,9,3,8,53,73650,2
Zachery,Nam@ridiculusmusProin.net,3,1,28,1,3,55,5934,1
Arthur,volutpat.Nulla.dignissim@fringillapurus.co.uk,3,1,27,9,10,30,2878,1
Kyra,elit.dictum@tristique.com,1,2,19,3,16,55,173006,1
Nerea,elit@magnaDuis.ca,1,0,20,6,18,54,40890,2
Regina,Curae.Phasellus.ornare@pellentesquea.net,3,1,25,1,5,23,3709,2
Sage,Phasellus.nulla@ullamcorperDuis.com,1,1,22,5,11,58,H4K 4A9,2
Brenden,Nullam@Nullaaliquet.edu,2,1,27,7,15,67,463,2
Kelsey,penatibus@inlobortis.org,2,0,21,2,9,21,392797,2
Stephanie,pede.Praesent@mauris.com,3,2,18,12,17,17,196443,2
Christopher,ac@magnisdis.com,1,1,4,9,12,21,79080-183,2
Iliana,pede@Etiamimperdiet.co.uk,2,2,16,11,14,42,2901,2
Kenyon,arcu.Morbi@egestasDuisac.ca,1,0,10,12,8,31,56451,2
Kai,libero.et.tristique@sitamet.com,2,2,13,6,18,21,215044,1
Stephen,in.dolor@mollisPhaselluslibero.co.uk,3,2,11,6,17,17,296731,1
Hilary,tristique@diam.co.uk,1,0,1,11,16,62,70372,2
Signe,lacinia.mattis@Sed.net,1,1,13,11,12,24,32714,1
Angelica,lorem.vehicula@nostraper.ca,2,2,8,2,12,47,17023,1
Riley,tellus@luctus.edu,1,2,30,11,13,37,123361,1
Claire,ipsum.primis.in@cursuseteros.ca,1,2,22,12,10,20,400812,1
Buckminster,malesuada.fringilla@pharetraQuisque.co.uk,3,2,15,6,11,30,KU29 4SG,1
Xena,hendrerit@aliquamerosturpis.net,2,0,20,8,7,35,86-993,1
Ulysses,Aliquam.auctor.velit@utpharetra.co.uk,3,1,26,10,4,36,03-945,1
Martina,Morbi.sit.amet@ametmassaQuisque.edu,2,2,15,8,4,22,V6K 1M2,1
Vance,eu.odio@sodalesnisi.ca,3,1,25,1,6,66,655480,1
Grady,aliquam.iaculis.lacus@loremsitamet.org,2,0,1,6,6,26,776553,2
Hilary,Aliquam.vulputate.ullamcorper@eleifendCras.org,1,1,12,7,13,45,22009,1
Angela,elit.pharetra.ut@morbitristiquesenectus.org,3,1,18,1,3,46,21100,1
Hop,risus.Donec@inmagnaPhasellus.ca,2,1,3,12,1,27,25048,1
Rhona,urna@velit.co.uk,3,0,3,8,8,60,J9X 6K4,2
Chastity,nisl.sem@gravidaAliquamtincidunt.org,3,0,4,7,2,31,58-837,1
Felix,turpis.egestas@nuncsitamet.edu,2,2,4,3,11,40,40903,2
Hamilton,egestas.hendrerit.neque@aliquetlibero.net,3,0,9,4,13,14,45945,1
Tatiana,mauris.a.nunc@augueSedmolestie.co.uk,2,1,5,12,6,19,7558,2
Barry,et@Phasellus.ca,3,1,9,4,14,48,52295-561,2
Nathan,interdum@magnanecquam.net,2,0,3,5,1,22,66882,2
Murphy,adipiscing@ligulatortordictum.edu,3,1,23,4,13,15,9267,2
Glenna,a.scelerisque@lectus.edu,3,0,19,9,1,31,41879,2
Harper,dignissim.tempor@gravidamolestie.edu,2,0,26,5,13,34,437023,1
Jeremy,laoreet.libero@enimCurabiturmassa.edu,2,1,13,2,15,18,21515,1
Blythe,erat@aliquam.com,3,2,12,5,3,62,3204,2
Nicole,consectetuer.rhoncus.Nullam@pedeet.co.uk,1,1,25,1,8,14,B4N 0H9,2
September,non@Intinciduntcongue.net,3,0,10,2,14,66,4554,2
Blythe,interdum.enim@ipsumDonecsollicitudin.co.uk,1,2,4,3,8,21,01-455,2
Jenna,malesuada.augue@magnaet.org,1,0,29,4,16,46,975085,1
Lara,erat.eget.tincidunt@natoquepenatibus.co.uk,3,2,19,7,7,52,7575,2
Brandon,penatibus@elitsed.net,1,1,11,7,14,59,80920,1
Emma,Phasellus.dapibus@purusin.org,3,1,10,8,7,26,886463,2
Joan,Mauris@dictumeuplacerat.co.uk,1,2,26,5,3,58,81202-321,1
Sloane,sed.pede.nec@non.com,3,1,11,8,3,32,74363,2
Amber,ornare.sagittis.felis@dolordapibus.org,3,2,7,6,12,36,169396,1
Melyssa,dolor.sit@nonummyac.ca,2,0,19,3,2,48,54268,1
Damon,leo@Sed.org,2,0,20,1,5,30,74144,2
Hanna,a.scelerisque@Classaptent.ca,3,0,17,8,18,36,5451,1
Isabelle,dis.parturient.montes@Donecfelisorci.net,3,0,26,3,11,25,85680,2
Lavinia,sit.amet@ullamcorpervelit.org,2,1,16,2,11,55,76523,2
Raymond,tempus.mauris.erat@felisDonectempor.ca,3,2,26,11,14,21,60313,2
Blossom,ut@magnamalesuadavel.co.uk,2,0,7,6,9,18,72143,2
Indigo,elementum@mattissemperdui.co.uk,2,2,2,1,13,40,43739,1
Ulric,et@egestasAliquam.net,3,2,5,3,15,16,2999,2
Ulysses,quam@vitaesodalesat.com,1,2,30,6,11,60,R2Y 9P5,2
Heidi,odio.auctor.vitae@mollisIntegertincidunt.com,3,1,16,4,11,62,5046,1
Camille,nulla.Integer@risusDonec.org,2,0,18,4,9,60,62187,1
Colette,nisl.sem@tinciduntvehicula.edu,2,2,3,10,15,19,55785,2
Cole,euismod.in@cubiliaCuraeDonec.co.uk,1,0,29,9,5,41,97589,1
Nina,sagittis@eget.co.uk,1,2,30,7,13,20,6845,1
Cedric,felis.adipiscing.fringilla@consectetuermauris.org,1,2,21,5,4,61,50907,1
Petra,est.ac@Nullamscelerisque.com,1,2,15,5,5,31,581586,2
Graiden,velit.Sed.malesuada@dolorsitamet.ca,1,0,7,10,13,37,GM4E 7NT,2
Jemima,velit.in@sociosquadlitora.edu,1,1,21,7,4,36,950616,1
Castor,eu.eleifend@euismod.ca,1,2,20,12,1,56,71-073,2
Fredericka,Curabitur.sed@eumetus.ca,2,2,28,9,17,24,27642,1
Alfreda,Nam.interdum.enim@aliquetsemut.co.uk,1,2,15,10,9,39,32406,1
Lee,justo@blanditatnisi.ca,2,1,26,12,15,47,40536,1
Colorado,tempor.arcu@Pellentesque.ca,2,1,28,4,1,43,10211,2
Caldwell,in.lobortis.tellus@Nullam.com,2,0,10,5,12,60,CI1 3ZO,2
Elliott,egestas.urna@Sedetlibero.ca,3,1,19,8,8,47,9528,1
Brenden,augue.malesuada@hendreritconsectetuercursus.org,2,1,18,3,7,14,97328,2
Rogan,Pellentesque.tincidunt@ategestasa.co.uk,2,2,30,11,8,19,670514,2
Samuel,lobortis.quis@fringilla.ca,1,1,15,2,5,41,6102,1
Amos,consequat@Nunclaoreet.co.uk,2,2,18,8,16,13,652048,2
Berk,massa.Vestibulum.accumsan@nisl.net,1,2,24,12,7,35,201541,1
Salvador,arcu.vel.quam@Integeraliquamadipiscing.edu,2,1,28,7,14,54,9825,1
Bethany,consequat@Maurisut.org,1,0,11,1,10,43,9389,1
Yeo,ut.nulla@auguescelerisque.ca,3,0,5,11,10,24,83863,1
Callum,imperdiet@eutemporerat.org,1,0,27,7,6,32,860540,2
Zephania,magna@diam.co.uk,2,2,18,6,14,18,74669,2
Lynn,arcu.ac.orci@nonmassa.org,3,2,23,2,2,55,1494,1
Theodore,nibh.vulputate.mauris@mauriserat.org,2,0,26,11,9,60,251880,1
Gray,quam.Curabitur@odio.co.uk,2,1,9,3,4,68,65592,1
Bevis,enim.Etiam.gravida@venenatisa.com,3,2,6,1,4,39,30528-176,2
Jared,venenatis@cursuspurusNullam.edu,1,1,21,6,7,43,8137LW,1
Allistair,non@eleifendvitae.edu,2,2,13,6,2,34,6683,1
Gail,enim.Sed@ametultricies.com,3,2,18,5,6,24,677639,1
Raya,auctor@risusInmi.org,2,0,16,10,3,16,33289,2
Sacha,rutrum@diam.com,3,0,16,7,8,25,9976UZ,1
Yen,gravida@nonsapien.com,3,2,29,10,2,37,9970,1
Zena,massa.Mauris.vestibulum@NullamenimSed.co.uk,2,1,4,9,11,47,09420-697,1
Aspen,mattis.ornare.lectus@arcuVestibulum.com,1,0,6,6,14,62,65-576,1
Catherine,Vivamus@liberodui.org,3,0,7,9,11,17,13750,2
Deacon,dui.Cum.sociis@ultricessitamet.ca,2,1,7,5,9,53,18486,1
Upton,suscipit.est.ac@Suspendissetristique.co.uk,1,2,13,11,18,16,29731,1
Francesca,facilisis.lorem.tristique@euligula.net,1,0,10,1,12,68,4592,1
James,Fusce@semeget.net,3,2,11,2,15,53,158801,1
Gillian,sagittis@vulputateduinec.org,3,1,8,6,14,45,130343,2
Carly,adipiscing.lacus@porttitor.net,3,0,28,2,16,30,3972,2
Willow,lectus.convallis@at.org,1,1,27,9,17,62,7899,1
Sydney,lacus@quam.ca,3,0,18,2,10,65,48824,2
Risa,Sed.dictum.Proin@aliquam.com,3,2,15,6,14,42,10030,1
Alyssa,sed.est@blanditcongue.com,2,0,21,8,15,64,9981,1
Wylie,eu@ullamcorperviverra.com,3,2,9,3,8,28,06808-587,2
Cora,tempus.risus@Crasdictum.ca,2,1,26,7,2,63,38989,1
Unity,eu@inlobortis.net,1,1,24,5,17,53,30303,2
Serena,suscipit.est@velit.co.uk,2,1,9,1,3,58,259142,2
Sybil,Donec.non@ipsumprimisin.net,1,0,30,11,4,36,34328,2
Darius,urna@eliteratvitae.co.uk,3,0,12,8,3,21,375580,2
Galena,in.felis@magnatellusfaucibus.com,3,1,14,9,6,18,861024,1
Carolyn,ante@auctornonfeugiat.co.uk,1,0,13,12,14,57,8218,1
Alvin,Etiam.bibendum.fermentum@gravida.ca,2,2,17,1,5,38,8244,2
September,dis@malesuadautsem.org,3,1,28,7,17,54,0408QP,1
Tarik,dolor.sit.amet@malesuadamalesuada.edu,1,1,29,1,12,54,5987VH,2
Justine,eget.odio@orciPhasellusdapibus.org,2,1,1,8,5,63,93317,1
Kelly,nulla@malesuadamalesuada.edu,3,1,27,2,3,63,8018,2
Whitney,Suspendisse.tristique@semper.net,1,2,3,1,14,20,60-696,1
Jack,nonummy.ut.molestie@venenatislacus.co.uk,1,0,26,4,3,50,4270,2
Merritt,cubilia@DonectinciduntDonec.edu,3,1,5,7,6,42,73939-395,2
Brody,quis.diam@facilisismagnatellus.org,2,1,12,11,16,40,7025,1
Gloria,elit.elit@nasceturridiculusmus.net,3,2,20,6,14,54,924,1
Nathan,ridiculus@idanteNunc.com,2,1,28,2,8,31,72-731,2
Abdul,Cras@pharetrasedhendrerit.co.uk,2,1,25,8,8,47,1577,1
Karina,id@faucibusut.com,2,0,22,1,17,59,41200,2
Erica,sit.amet.massa@nisia.org,1,1,16,11,4,33,A83 7EO,1
Linda,Nunc.pulvinar@euaccumsan.org,1,2,28,5,10,41,55865,1
Nicole,lorem.vitae@luctusCurabituregestas.co.uk,1,0,25,10,11,64,903,1
Ezra,rutrum.magna.Cras@estvitae.edu,2,0,20,10,17,17,1945,2
Alvin,Donec.tincidunt.Donec@viverra.com,2,0,24,11,16,20,71090,2
Deacon,ridiculus.mus.Proin@risus.net,1,2,27,4,6,24,57405,1
Blaine,ipsum.primis.in@iaculisenimsit.edu,1,2,21,6,2,31,40606,2
Octavius,Proin.nisl.sem@facilisis.edu,3,2,16,4,7,14,9153,2
Addison,pellentesque.tellus@aliquamarcu.edu,1,2,26,10,16,55,8792,2
Graham,Praesent@risusMorbi.ca,2,1,8,9,13,68,630047,1
Dahlia,montes@magnisdis.net,3,1,21,3,8,36,583784,2
Jenna,dis@enimcommodo.edu,3,0,8,6,15,48,30116,1
Ciaran,Quisque.purus@ornare.edu,2,1,2,6,16,13,242778,1
Clarke,imperdiet.ullamcorper@mipede.org,1,2,12,11,11,36,28145-297,2
Ignatius,vehicula@ametrisusDonec.edu,1,1,19,6,7,66,599877,2
Jocelyn,neque.vitae.semper@atrisusNunc.edu,1,1,27,4,8,60,20008,1
Nero,luctus.ut.pellentesque@eleifendegestasSed.edu,2,2,17,3,3,23,503339,2
Kessie,elit.erat@lectus.edu,1,0,8,12,4,59,89651-416,1
Damon,quam@Duis.co.uk,2,1,24,1,5,49,313401,2
Yael,sagittis.Duis@ultricesVivamusrhoncus.ca,2,0,30,11,3,44,FY0 5OK,2
Jorden,sem@Morbiquisurna.edu,2,0,20,5,13,13,95462,2
Raven,enim.Nunc@nibhvulputatemauris.co.uk,2,1,8,3,10,22,1040,1
Lee,nulla.magna@utsemNulla.co.uk,2,1,10,4,9,21,87174-009,1
Morgan,id.ante.Nunc@auctornon.edu,2,2,26,2,15,67,8210KE,2
Jolie,ornare.egestas.ligula@Nullam.edu,2,0,17,1,16,37,02208-115,2
Iona,neque@nibhAliquamornare.org,1,1,4,9,17,13,80527,1
Maia,lacus.Quisque.imperdiet@placeratorcilacus.edu,2,1,19,10,5,67,49875,2
Rigel,consequat.nec@elitelitfermentum.co.uk,2,1,9,10,7,66,2812,1
Hakeem,dapibus.id.blandit@semmagna.ca,1,0,6,11,9,32,9925AX,2
Martena,Duis.ac.arcu@congue.ca,2,0,7,12,13,40,23-561,2
Jakeem,est.congue.a@orciPhasellus.ca,3,2,29,7,17,44,43197,2
Xanthus,consectetuer.ipsum.nunc@malesuadafringilla.com,1,0,17,12,4,64,J9Y 1Y7,2
Irma,mollis@NullafacilisiSed.org,2,1,27,11,4,33,469202,2
Kylynn,aliquet.metus@iaculislacuspede.edu,3,1,21,11,10,50,78273,1
Duncan,ac.ipsum@sit.co.uk,2,0,8,7,3,46,185304,2
Sydnee,Fusce@sagittisaugue.com,2,0,18,2,4,19,7661,1
Allen,magna.Lorem.ipsum@nibhPhasellus.net,1,0,17,3,6,66,6575,1
